# Spin-echo spectrometer data file
# Start Time 6:31:3 8/8/2024

# System Status at:  6:31:3 8/8/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  2.7400E-09
crystal temperature: 5.30
manipulator desired alpha: 75.000000
manipulator desired beta: 2.332700
manipulator desired gamma: 25.285000
specular ga: 25.284984
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.60651
Psourse 7.93378e-05
p303 0.109707
p3053 0.005069
wika1 0.020707
wika2 0.173412
wika3 -0.255327
comp 0.042801

1.658614e-09 3.133333e-02 3.133333e-02 -8.533731e-04
1.661148e-09 3.200000e-02 3.200000e-02 -8.533731e-04
1.661738e-09 3.266667e-02 3.266667e-02 -8.533731e-04
1.666335e-09 3.333333e-02 3.333333e-02 -8.533731e-04
1.661361e-09 3.400000e-02 3.400000e-02 -8.533731e-04
1.654338e-09 3.466667e-02 3.466667e-02 -8.533731e-04
1.664210e-09 3.533333e-02 3.533333e-02 -8.533731e-04
1.666213e-09 3.600000e-02 3.600000e-02 -8.533731e-04
1.667352e-09 3.666667e-02 3.666667e-02 -8.533731e-04
1.673680e-09 3.733333e-02 3.733333e-02 -8.533731e-04
1.676160e-09 3.800000e-02 3.800000e-02 -8.533731e-04
1.654261e-09 3.866667e-02 3.866667e-02 -8.533731e-04
1.661274e-09 3.933333e-02 3.933333e-02 -8.533731e-04
1.671979e-09 4.000000e-02 4.000000e-02 -8.533731e-04
1.670423e-09 4.066667e-02 4.066667e-02 -8.533731e-04
1.670930e-09 4.133333e-02 4.133333e-02 -8.533731e-04
1.673386e-09 4.200000e-02 4.200000e-02 -8.533731e-04
1.665977e-09 4.266667e-02 4.266667e-02 -8.533731e-04
1.661733e-09 4.333333e-02 4.333333e-02 -8.533731e-04
1.649838e-09 4.400000e-02 4.400000e-02 -8.533731e-04
1.673727e-09 4.466667e-02 4.466667e-02 -8.533731e-04
1.662053e-09 4.533333e-02 4.533333e-02 -8.533731e-04
1.656732e-09 4.600000e-02 4.600000e-02 -8.533731e-04
1.661467e-09 4.666667e-02 4.666667e-02 -8.533731e-04
1.663945e-09 4.733333e-02 4.733333e-02 -8.533731e-04
1.677228e-09 4.800000e-02 4.800000e-02 -8.533731e-04
1.668824e-09 4.866667e-02 4.866667e-02 -8.533731e-04
1.677132e-09 4.933333e-02 4.933333e-02 -8.533731e-04
1.661851e-09 5.000000e-02 5.000000e-02 -8.533731e-04
# loop number 2
1.667447e-09 -5.000000e-02 -5.000000e-02 -8.533731e-04
1.671147e-09 -4.933333e-02 -4.933333e-02 -8.533731e-04
1.683130e-09 -4.866667e-02 -4.866667e-02 -8.533731e-04
1.661725e-09 -4.800000e-02 -4.800000e-02 -8.533731e-04
1.673845e-09 -4.733333e-02 -4.733333e-02 -8.533731e-04
1.658957e-09 -4.666667e-02 -4.666667e-02 -8.533731e-04
1.659405e-09 -4.600000e-02 -4.600000e-02 -8.533731e-04
1.666717e-09 -4.533333e-02 -4.533333e-02 -8.533731e-04
1.657059e-09 -4.466667e-02 -4.466667e-02 -8.533731e-04
1.668841e-09 -4.400000e-02 -4.400000e-02 -8.533731e-04
1.666525e-09 -4.333333e-02 -4.333333e-02 -8.533731e-04
1.662964e-09 -4.266667e-02 -4.266667e-02 -8.533731e-04
1.649974e-09 -4.200000e-02 -4.200000e-02 -8.533731e-04
1.675340e-09 -4.133333e-02 -4.133333e-02 -8.533731e-04
1.676885e-09 -4.066667e-02 -4.066667e-02 -8.533731e-04
1.669050e-09 -4.000000e-02 -4.000000e-02 -8.533731e-04
1.659352e-09 -3.933333e-02 -3.933333e-02 -8.533731e-04
1.667434e-09 -3.866667e-02 -3.866667e-02 -8.533731e-04
1.686494e-09 -3.800000e-02 -3.800000e-02 -8.533731e-04
1.656684e-09 -3.733333e-02 -3.733333e-02 -8.533731e-04
1.667127e-09 -3.666667e-02 -3.666667e-02 -8.533731e-04
1.664603e-09 -3.600000e-02 -3.600000e-02 -8.533731e-04
1.653549e-09 -3.533333e-02 -3.533333e-02 -8.533731e-04
1.672128e-09 -3.466667e-02 -3.466667e-02 -8.533731e-04
1.637949e-09 -3.400000e-02 -3.400000e-02 -8.533731e-04
1.661532e-09 -3.333333e-02 -3.333333e-02 -8.533731e-04
1.672647e-09 -3.266667e-02 -3.266667e-02 -8.533731e-04
1.673245e-09 -3.200000e-02 -3.200000e-02 -8.533731e-04
1.654110e-09 -3.133333e-02 -3.133333e-02 -8.533731e-04
1.669681e-09 -3.066667e-02 -3.066667e-02 -8.533731e-04
1.677930e-09 -3.000000e-02 -3.000000e-02 -8.533731e-04
1.674425e-09 -2.933333e-02 -2.933333e-02 -8.533731e-04
1.674782e-09 -2.866667e-02 -2.866667e-02 -8.533731e-04
1.676885e-09 -2.800000e-02 -2.800000e-02 -8.533731e-04
1.645117e-09 -2.733333e-02 -2.733333e-02 -8.533731e-04
1.667149e-09 -2.666667e-02 -2.666667e-02 -8.533731e-04
1.671558e-09 -2.600000e-02 -2.600000e-02 -8.533731e-04
1.678004e-09 -2.533333e-02 -2.533333e-02 -8.533731e-04
1.669797e-09 -2.466667e-02 -2.466667e-02 -8.533731e-04
1.664336e-09 -2.400000e-02 -2.400000e-02 -8.533731e-04
1.667058e-09 -2.333333e-02 -2.333333e-02 -8.533731e-04
1.656508e-09 -2.266667e-02 -2.266667e-02 -8.533731e-04
1.673699e-09 -2.200000e-02 -2.200000e-02 -8.533731e-04
1.678000e-09 -2.133333e-02 -2.133333e-02 -8.533731e-04
1.679145e-09 -2.066667e-02 -2.066667e-02 -8.533731e-04
1.674778e-09 -2.000000e-02 -2.000000e-02 -8.533731e-04
1.664283e-09 -1.933333e-02 -1.933333e-02 -8.533731e-04
1.667235e-09 -1.866667e-02 -1.866667e-02 -8.533731e-04
1.652013e-09 -1.800000e-02 -1.800000e-02 -8.533731e-04
1.666376e-09 -1.733333e-02 -1.733333e-02 -8.533731e-04
1.659688e-09 -1.666667e-02 -1.666667e-02 -8.533731e-04
1.679788e-09 -1.600000e-02 -1.600000e-02 -8.533731e-04
1.678525e-09 -1.533333e-02 -1.533333e-02 -8.533731e-04
1.667503e-09 -1.466667e-02 -1.466667e-02 -8.533731e-04
1.688602e-09 -1.400000e-02 -1.400000e-02 -8.533731e-04
1.665911e-09 -1.333333e-02 -1.333333e-02 -8.533731e-04
1.668985e-09 -1.266667e-02 -1.266667e-02 -8.533731e-04
1.664505e-09 -1.200000e-02 -1.200000e-02 -8.533731e-04
1.670865e-09 -1.133333e-02 -1.133333e-02 -8.533731e-04
1.677574e-09 -1.066667e-02 -1.066667e-02 -8.533731e-04
1.672268e-09 -1.000000e-02 -1.000000e-02 -8.533731e-04
1.664872e-09 -9.333333e-03 -9.333333e-03 -8.533731e-04
1.672461e-09 -8.666667e-03 -8.666667e-03 -8.533731e-04
1.649271e-09 -8.000000e-03 -8.000000e-03 -8.533731e-04
1.671448e-09 -7.333333e-03 -7.333333e-03 -8.533731e-04
1.667950e-09 -6.666667e-03 -6.666667e-03 -8.533731e-04
1.671979e-09 -6.000000e-03 -6.000000e-03 -8.533731e-04
1.680043e-09 -5.333333e-03 -5.333333e-03 -8.533731e-04
1.667360e-09 -4.666667e-03 -4.666667e-03 -8.533731e-04
1.660362e-09 -4.000000e-03 -4.000000e-03 -8.533731e-04
1.664016e-09 -3.333333e-03 -3.333333e-03 -8.533731e-04
1.662493e-09 -2.666667e-03 -2.666667e-03 -8.533731e-04
1.669114e-09 -2.000000e-03 -2.000000e-03 -8.533731e-04
1.671984e-09 -1.333333e-03 -1.333333e-03 -8.533731e-04
1.681485e-09 -6.666667e-04 -6.666667e-04 -8.533731e-04
1.677626e-09 0 0 -8.533731e-04
1.655089e-09 6.666667e-04 6.666667e-04 -8.533731e-04
1.663227e-09 1.333333e-03 1.333333e-03 -8.533731e-04
1.670434e-09 2.000000e-03 2.000000e-03 -8.533731e-04
1.680812e-09 2.666667e-03 2.666667e-03 -8.533731e-04
1.668570e-09 3.333333e-03 3.333333e-03 -8.533731e-04
1.662396e-09 4.000000e-03 4.000000e-03 -8.533731e-04
1.675171e-09 4.666667e-03 4.666667e-03 -8.533731e-04
1.660600e-09 5.333333e-03 5.333333e-03 -8.533731e-04
1.667717e-09 6.000000e-03 6.000000e-03 -8.533731e-04
1.668489e-09 6.666667e-03 6.666667e-03 -8.533731e-04
1.668554e-09 7.333333e-03 7.333333e-03 -8.533731e-04
1.670811e-09 8.000000e-03 8.000000e-03 -8.533731e-04
1.671527e-09 8.666667e-03 8.666667e-03 -8.533731e-04
1.685619e-09 9.333333e-03 9.333333e-03 -8.533731e-04
1.676756e-09 1.000000e-02 1.000000e-02 -8.533731e-04
1.678207e-09 1.066667e-02 1.066667e-02 -8.533731e-04
1.682020e-09 1.133333e-02 1.133333e-02 -8.533731e-04
1.665487e-09 1.200000e-02 1.200000e-02 -8.533731e-04
1.667765e-09 1.266667e-02 1.266667e-02 -8.533731e-04
1.677838e-09 1.333333e-02 1.333333e-02 -8.533731e-04
1.670373e-09 1.400000e-02 1.400000e-02 -8.533731e-04
1.661052e-09 1.466667e-02 1.466667e-02 -8.533731e-04
1.673418e-09 1.533333e-02 1.533333e-02 -8.533731e-04
1.688256e-09 1.600000e-02 1.600000e-02 -8.533731e-04
1.669364e-09 1.666667e-02 1.666667e-02 -8.533731e-04
1.663410e-09 1.733333e-02 1.733333e-02 -8.533731e-04
1.682272e-09 1.800000e-02 1.800000e-02 -8.533731e-04
1.672640e-09 1.866667e-02 1.866667e-02 -8.533731e-04
1.679701e-09 1.933333e-02 1.933333e-02 -8.533731e-04
1.670826e-09 2.000000e-02 2.000000e-02 -8.533731e-04
1.665360e-09 2.066667e-02 2.066667e-02 -8.533731e-04
1.676629e-09 2.133333e-02 2.133333e-02 -8.533731e-04
1.673986e-09 2.200000e-02 2.200000e-02 -8.533731e-04
1.673584e-09 2.266667e-02 2.266667e-02 -8.533731e-04
1.687500e-09 2.333333e-02 2.333333e-02 -8.533731e-04
1.673692e-09 2.400000e-02 2.400000e-02 -8.533731e-04
1.663684e-09 2.466667e-02 2.466667e-02 -8.533731e-04
1.675664e-09 2.533333e-02 2.533333e-02 -8.533731e-04
1.672123e-09 2.600000e-02 2.600000e-02 -8.533731e-04
1.668924e-09 2.666667e-02 2.666667e-02 -8.533731e-04
1.683935e-09 2.733333e-02 2.733333e-02 -8.533731e-04
1.678021e-09 2.800000e-02 2.800000e-02 -8.533731e-04
1.681827e-09 2.866667e-02 2.866667e-02 -8.533731e-04
1.660902e-09 2.933333e-02 2.933333e-02 -8.533731e-04
1.671012e-09 3.000000e-02 3.000000e-02 -8.533731e-04
1.681138e-09 3.066667e-02 3.066667e-02 -8.533731e-04
1.678052e-09 3.133333e-02 3.133333e-02 -8.533731e-04
1.675062e-09 3.200000e-02 3.200000e-02 -8.533731e-04
1.670578e-09 3.266667e-02 3.266667e-02 -8.533731e-04
1.663141e-09 3.333333e-02 3.333333e-02 -8.533731e-04
1.692478e-09 3.400000e-02 3.400000e-02 -8.533731e-04
1.664351e-09 3.466667e-02 3.466667e-02 -8.533731e-04
1.661498e-09 3.533333e-02 3.533333e-02 -8.533731e-04
1.682774e-09 3.600000e-02 3.600000e-02 -8.533731e-04
1.675027e-09 3.666667e-02 3.666667e-02 -8.533731e-04
1.678876e-09 3.733333e-02 3.733333e-02 -8.533731e-04
1.673743e-09 3.800000e-02 3.800000e-02 -8.533731e-04
1.664313e-09 3.866667e-02 3.866667e-02 -8.533731e-04
1.680517e-09 3.933333e-02 3.933333e-02 -8.533731e-04
1.672876e-09 4.000000e-02 4.000000e-02 -8.533731e-04
1.671777e-09 4.066667e-02 4.066667e-02 -8.533731e-04
1.665946e-09 4.133333e-02 4.133333e-02 -8.533731e-04
1.677489e-09 4.200000e-02 4.200000e-02 -8.533731e-04
1.665558e-09 4.266667e-02 4.266667e-02 -8.533731e-04
1.661574e-09 4.333333e-02 4.333333e-02 -8.533731e-04
1.665174e-09 4.400000e-02 4.400000e-02 -8.533731e-04
1.666401e-09 4.466667e-02 4.466667e-02 -8.533731e-04
1.678891e-09 4.533333e-02 4.533333e-02 -8.533731e-04
1.688213e-09 4.600000e-02 4.600000e-02 -8.533731e-04
1.666386e-09 4.666667e-02 4.666667e-02 -8.533731e-04
1.663214e-09 4.733333e-02 4.733333e-02 -8.533731e-04
1.681373e-09 4.800000e-02 4.800000e-02 -8.533731e-04
1.670037e-09 4.866667e-02 4.866667e-02 -8.533731e-04
1.685382e-09 4.933333e-02 4.933333e-02 -8.533731e-04
1.666781e-09 5.000000e-02 5.000000e-02 -8.533731e-04
# loop number 3
1.670032e-09 -5.000000e-02 -5.000000e-02 -8.533731e-04
1.656506e-09 -4.933333e-02 -4.933333e-02 -8.533731e-04
1.670507e-09 -4.866667e-02 -4.866667e-02 -8.533731e-04
1.663929e-09 -4.800000e-02 -4.800000e-02 -8.533731e-04
1.674438e-09 -4.733333e-02 -4.733333e-02 -8.533731e-04
1.658660e-09 -4.666667e-02 -4.666667e-02 -8.533731e-04
1.672198e-09 -4.600000e-02 -4.600000e-02 -8.533731e-04
1.669592e-09 -4.533333e-02 -4.533333e-02 -8.533731e-04
1.668548e-09 -4.466667e-02 -4.466667e-02 -8.533731e-04
1.672762e-09 -4.400000e-02 -4.400000e-02 -8.533731e-04
1.673629e-09 -4.333333e-02 -4.333333e-02 -8.533731e-04
1.656971e-09 -4.266667e-02 -4.266667e-02 -8.533731e-04
1.667070e-09 -4.200000e-02 -4.200000e-02 -8.533731e-04
1.671755e-09 -4.133333e-02 -4.133333e-02 -8.533731e-04
1.674262e-09 -4.066667e-02 -4.066667e-02 -8.533731e-04
1.675016e-09 -4.000000e-02 -4.000000e-02 -8.533731e-04
1.666372e-09 -3.933333e-02 -3.933333e-02 -8.533731e-04
1.676226e-09 -3.866667e-02 -3.866667e-02 -8.533731e-04
